cdid,COUNTRY,DIRECTION,BASIS,SEASADJ,PERIOD,COMMODITY,PRICE
KO2P,LY,BAL,BOP,SA,M,T,CP
KO2P,LY,BAL,BOP,SA,Q,T,CP
KO2Q,LY,EX,BOP,SA,A,T,CP
KO2Q,LY,EX,BOP,SA,M,T,CP
KO2Q,LY,EX,BOP,SA,Q,T,CP
KO2R,LY,IM,BOP,SA,A,T,CP
KO2R,LY,IM,BOP,SA,M,T,CP
KO2R,LY,IM,BOP,SA,Q,T,CP
QATG,NG,BAL,BOP,SA,A,T,CP
QATG,NG,BAL,BOP,SA,M,T,CP
QATG,NG,BAL,BOP,SA,Q,T,CP
QATE,NG,EX,BOP,SA,A,T,CP
QATE,NG,EX,BOP,SA,M,T,CP
QATE,NG,EX,BOP,SA,Q,T,CP
QATF,NG,IM,BOP,SA,A,T,CP
QATF,NG,IM,BOP,SA,M,T,CP
QATF,NG,IM,BOP,SA,Q,T,CP
E5GH,VE,BAL,BOP,SA,A,T,CP
E5GH,VE,BAL,BOP,SA,M,T,CP
E5GH,VE,BAL,BOP,SA,Q,T,CP
E4ZI,VE,EX,BOP,SA,A,T,CP
E4ZI,VE,EX,BOP,SA,M,T,CP
E4ZI,VE,EX,BOP,SA,Q,T,CP
E4ZQ,VE,IM,BOP,SA,A,T,CP
E4ZQ,VE,IM,BOP,SA,M,T,CP
E4ZQ,VE,IM,BOP,SA,Q,T,CP
E565,AL,BAL,BOP,SA,A,T,CP
E565,AL,BAL,BOP,SA,M,T,CP
E565,AL,BAL,BOP,SA,Q,T,CP
E25L,AL,EX,BOP,SA,A,T,CP
E25L,AL,EX,BOP,SA,M,T,CP
E25L,AL,EX,BOP,SA,Q,T,CP
E4ZJ,AL,IM,BOP,SA,A,T,CP
E4ZJ,AL,IM,BOP,SA,M,T,CP
E4ZJ,AL,IM,BOP,SA,Q,T,CP
E566,BY,BAL,BOP,SA,A,T,CP
E566,BY,BAL,BOP,SA,M,T,CP
E566,BY,BAL,BOP,SA,Q,T,CP
E2XF,BY,EX,BOP,SA,A,T,CP
E2XF,BY,EX,BOP,SA,M,T,CP
E2XF,BY,EX,BOP,SA,Q,T,CP
